Vez,Quantidade,Tempo(segundos)
79,10000,0.03400
80,10000,0.03100
81,10000,0.03200
82,10000,0.03100
83,10000,0.03100
84,10000,0.03200
85,10000,0.03100
86,10000,0.04700
87,10000,0.03200
88,10000,0.03100
89,10000,0.03100
90,10000,0.03200
91,10000,0.03100
92,10000,0.03200
93,10000,0.03100
94,10000,0.04600
95,10000,0.02700
96,10000,0.03200
97,10000,0.03100
98,10000,0.03200
99,10000,0.03400
100,10000,0.02900
1,50000,0.83700
2,50000,0.83300
3,50000,0.83400
4,50000,0.83700
5,50000,0.82900
6,50000,0.83700
7,50000,0.84700
8,50000,0.83000
9,50000,0.83500
10,50000,0.82700
11,50000,0.84200
12,50000,0.83900
13,50000,0.83500
14,50000,0.84300
15,50000,0.83900
16,50000,0.83400
17,50000,0.83600
18,50000,0.84100
19,50000,0.82700
20,50000,0.83700
21,50000,0.83600
22,50000,0.83800
23,50000,0.84200
24,50000,0.82100
25,50000,0.84500
26,50000,0.83400
27,50000,0.84400
28,50000,0.84300
29,50000,0.83700
30,50000,0.83200
31,50000,0.84000
32,50000,0.83700
33,50000,0.83900
34,50000,0.84700
35,50000,0.83500
36,50000,0.83500
37,50000,0.83000
38,50000,0.84000
39,50000,0.83700
40,50000,0.84400
41,50000,0.83500
42,50000,0.83300
43,50000,0.84700
44,50000,0.83600
45,50000,0.82600
46,50000,0.85200
47,50000,0.83100
48,50000,0.83000
49,50000,0.84200
50,50000,0.84400
51,50000,0.83600
52,50000,0.83600
53,50000,0.85000
54,50000,0.82200
55,50000,0.82700
56,50000,0.83600
57,50000,0.84600
58,50000,0.83300
59,50000,0.82600
60,50000,0.84800
61,50000,0.82400
62,50000,0.84000
63,50000,0.84900
64,50000,0.82900
65,50000,0.84000
66,50000,0.83400
67,50000,0.84300
68,50000,0.82500
69,50000,0.84500
70,50000,0.83500
71,50000,0.84300
72,50000,0.83200
73,50000,0.83400
74,50000,0.84200
75,50000,0.84200
76,50000,0.82800
77,50000,0.85100
78,50000,0.83600
79,50000,0.82600
80,50000,0.84400
81,50000,0.83100
82,50000,0.83800
83,50000,0.83200
84,50000,0.83400
85,50000,0.82900
86,50000,0.83100
87,50000,0.82800
88,50000,0.85200
89,50000,0.83600
90,50000,0.83200
91,50000,0.83700
92,50000,0.83200
93,50000,0.84700
94,50000,0.84100
95,50000,0.82400
96,50000,0.83200
97,50000,0.84200
98,50000,0.84500
99,50000,0.82400
100,50000,0.84000
1,100000,3.31000
2,100000,3.30800
3,100000,3.32100
4,100000,3.32200
5,100000,3.31900
6,100000,3.33300
7,100000,3.31300
8,100000,3.32000
9,100000,3.33300
10,100000,3.33100
11,100000,3.34200
12,100000,3.33700
13,100000,3.32300
14,100000,3.32600
15,100000,3.32300
16,100000,3.31700
17,100000,3.33800
18,100000,3.31200
19,100000,3.32400
20,100000,3.32600
21,100000,3.30800
22,100000,3.32100
23,100000,3.30300
24,100000,3.33600
25,100000,3.32300
26,100000,3.38500
27,100000,3.32800
28,100000,3.30800
29,100000,3.32100
30,100000,3.32100
31,100000,3.32400
32,100000,3.33400
33,100000,3.33100
34,100000,3.33200
35,100000,3.33900
36,100000,3.34900
37,100000,3.33200
38,100000,3.34200
39,100000,3.31400
40,100000,3.33000
41,100000,3.31000
42,100000,3.33600
43,100000,3.33100
44,100000,3.31000
45,100000,3.33200
46,100000,3.52000
47,100000,3.32300
48,100000,3.34300
49,100000,3.31400
50,100000,3.31300
51,100000,3.32600
52,100000,3.30700
53,100000,3.31100
54,100000,3.34000
55,100000,3.65900
56,100000,3.60200
57,100000,3.36400
